,tokens
158,"['custom', 'servic', 'annonc', 'new', 'year', 'deliveri', 'wait', 'pleas', 'call', 'arrang', 'deliveri']"
159,"['winner', 'u', 'special', 'select', 'receiv', 'cash', 'holiday', 'flight', 'inc', 'speak', 'live', 'oper', 'claim']"
160,"['keep', 'safe', 'need', 'miss', 'alreadi', 'envi', 'everyon', 'see', 'real', 'life']"
161,"['new', 'car', 'hous', 'parent', 'new', 'job', 'hand']"
162,"['love', 'excit', 'day', 'spend', 'make', 'happi']"
163,"['stop', 'bootydeli', 'invit', 'friend', 'repli', 'see', 'stop', 'send', 'stop', 'frnd']"
164,"['bangbab', 'ur', 'order', 'way', 'u', 'receiv', 'servic', 'msg', 'download', 'ur', 'content', 'u', 'goto', 'wap', 'bangb', 'tv', 'ur', 'mobil', 'menu']"
165,"['place', 'ur', 'point', 'e', 'cultur', 'modul', 'alreadi']"
166,"['urgent', 'tri', 'contact', 'last', 'weekend', 'draw', 'show', 'prize', 'guarante', 'call', 'claim', 'code', 'valid']"
167,"['hi', 'frnd', 'best', 'way', 'avoid', 'missunderstd', 'wit', 'belov', 'one']"
168,"['great', 'escap', 'fanci', 'bridg', 'need', 'lager', 'see', 'tomo']"
169,"['ye', 'complet', 'form', 'clark', 'also', 'utter', 'wast']"
170,"['sir', 'need', 'axi', 'bank', 'account', 'bank', 'address']"
171,"['hmmm', 'thk', 'sure', 'got', 'time', 'hop', 'ard', 'ya', 'go', 'free', 'abt', 'muz', 'call', 'u', 'discuss', 'liao']"
172,"['time', 'come', 'later']"
173,"['bloodi', 'hell', 'cant', 'believ', 'forgot', 'surnam', 'mr', 'ill', 'give', 'u', 'clue', 'spanish', 'begin']"
174,"['well', 'gon', 'na', 'finish', 'bath', 'good', 'fine', 'night']"
175,"['let', 'know', 'got', 'money', 'carlo', 'make', 'call']"
176,"['u', 'still', 'go', 'mall']"
177,"['turn', 'friend', 'stay', 'whole', 'show', 'wo', 'back', 'til', 'lt', 'gt', 'feel', 'free', 'go', 'ahead', 'smoke', 'lt', 'gt', 'worth']"
178,"['text', 'doesnt', 'repli', 'let', 'know', 'log']"
179,"['hi', 'spoke', 'maneesha', 'like', 'know', 'satisfi', 'experi', 'repli', 'toll', 'free', 'ye']"
180,"['lift', 'hope', 'offer', 'money', 'need', 'especi', 'end', 'month', 'approach', 'hurt', 'studi', 'anyway', 'weekend']"
181,"['lol', 'u', 'trust']"
182,"['gentleman', 'treat', 'digniti', 'respect']"
183,"['guy', 'close']"
184,"['go', 'noth']"
185,"['hello', 'handsom', 'find', 'job', 'lazi', 'work', 'toward', 'get', 'back', 'net', 'mummi', 'boytoy', 'miss']"
186,"['haha', 'awesom', 'minut']"
187,"['pleas', 'call', 'custom', 'servic', 'repres', 'freephon', 'guarante', 'cash', 'prize']"
188,"['got', 'xma', 'radio', 'time', 'get']"
189,"['ju', 'reach', 'home', 'go', 'bath', 'first', 'si', 'use', 'net', 'tell', 'u', 'finish', 'k']"
190,"['uniqu', 'enough', 'find', 'august']"
191,"['sorri', 'join', 'leagu', 'peopl', 'dont', 'keep', 'touch', 'mean', 'great', 'deal', 'friend', 'time', 'even', 'great', 'person', 'cost', 'great']"
192,"['hi', 'final', 'complet', 'cours']"
193,"['stop', 'howev', 'suggest', 'stay', 'someon', 'abl', 'give', 'or', 'everi', 'stool']"
194,"['hope', 'settl', 'new', 'school', 'year', 'wishin', 'day']"
195,"['gud', 'mrng', 'dear', 'hav', 'nice', 'day']"
196,"['u', 'got', 'person', 'stori']"
197,"['hamster', 'dead', 'hey', 'tmr', 'meet', 'orchard', 'mrt']"
198,"['hi', 'kate', 'even', 'hope', 'see', 'tomorrow', 'bit', 'bloodi', 'babyjontet', 'txt', 'back', 'u', 'xxx']"
199,"['found', 'enc', 'lt', 'gt']"
200,"['sent', 'lt', 'gt', 'buck']"
201,"['hello', 'darlin', 'ive', 'finish', 'colleg', 'txt', 'u', 'finish', 'u', 'love', 'kate', 'xxx']"
202,"['account', 'refil', 'success', 'inr', 'lt', 'decim', 'gt', 'keralacircl', 'prepaid', 'account', 'balanc', 'rs', 'lt', 'decim', 'gt', 'transact', 'id', 'kr', 'lt', 'gt']"
203,"['goodmorn', 'sleep', 'ga']"
204,"['u', 'call', 'alter', 'ok']"
205,"['say', 'like', 'dat', 'dun', 'buy', 'ericsson', 'oso', 'oredi', 'lar']"
206,"['enter', 'cabin', 'pa', 'said', 'happi', 'boss', 'felt', 'special', 'askd', 'lunch', 'lunch', 'invit', 'apart', 'went']"
207,"['aight', 'yo', 'dat', 'straight', 'dogg']"
208,"['pleas', 'give', 'us', 'connect', 'today', 'lt', 'decim', 'gt', 'refund', 'bill']"
209,"['shoot', 'big', 'load', 'get', 'readi']"
210,"['bruv', 'hope', 'great', 'break', 'reward', 'semest']"
211,"['home', 'alway', 'chat']"
212,"['k', 'k', 'good', 'studi', 'well']"
213,"['yup', 'noe', 'leh']"
214,"['sound', 'great', 'home']"
215,"['final', 'match', 'head', 'toward', 'draw', 'predict']"
216,"['tire', 'slept', 'well', 'past', 'night']"
217,"['easi', 'ah', 'sen', 'got', 'select', 'mean', 'good']"
218,"['take', 'exam', 'march']"
219,"['yeah', 'think', 'use', 'gt', 'atm', 'regist', 'sure', 'anyway', 'help', 'let', 'know', 'sure', 'readi']"
220,"['ok', 'prob', 'take', 'ur', 'time']"
221,"['os', 'call', 'ubandu', 'run', 'without', 'instal', 'hard', 'disk', 'use', 'os', 'copi', 'import', 'file', 'system', 'give', 'repair', 'shop']"
222,"['sorri', 'call', 'later']"
223,"['u', 'say', 'leh', 'cours', 'noth', 'happen', 'lar', 'say', 'v', 'romant', 'ju', 'bit', 'lor', 'thk', 'e', 'nite', 'sceneri', 'nice', 'leh']"
224,"['new', 'mobil', 'must', 'go', 'txt', 'nokia', 'collect', 'today']"
225,"['would', 'realli', 'appreci', 'call', 'need', 'someon', 'talk']"
226,"['u', 'meet', 'ur', 'dream', 'partner', 'soon', 'ur', 'career', 'flyng', 'start', 'find', 'free', 'txt', 'horo', 'follow', 'ur', 'star', 'sign', 'horo', 'ari']"
227,"['hey', 'compani', 'elama', 'po', 'mudyadhu']"
228,"['life', 'strict', 'teacher', 'bcoz', 'teacher', 'teach', 'lesson', 'amp', 'conduct', 'exam', 'life', 'first', 'conduct', 'exam', 'amp', 'teach', 'lesson', 'happi', 'morn']"
229,"['dear', 'good', 'morn']"
230,"['get', 'gandhipuram', 'walk', 'cross', 'cut', 'road', 'right', 'side', 'lt', 'gt', 'street', 'road', 'turn', 'first', 'right']"
231,"['dear', 'go', 'rubber', 'place']"
232,"['sorri', 'batteri', 'die', 'yeah']"
233,"['ye', 'tv', 'alway', 'avail', 'work', 'place']"
234,"['text', 'meet', 'someon', 'sexi', 'today', 'u', 'find', 'date', 'even', 'flirt', 'join', 'repli', 'name', 'age', 'eg', 'sam', 'recd', 'thirtyeight', 'penc']"
235,"['print', 'oh', 'lt', 'gt', 'come', 'upstair']"
236,"['ill', 'littl', 'closer', 'like', 'bu', 'stop', 'street']"
237,"['wil', 'reach']"
238,"['new', 'theori', 'argument', 'win', 'situat', 'lose', 'person', 'dont', 'argu', 'ur', 'friend', 'kick', 'amp', 'say', 'alway', 'correct']"
239,"['u', 'secret', 'admir', 'look', 'make', 'contact', 'r', 'reveal', 'think', 'ur']"
240,"['tomarrow', 'final', 'hear', 'laptop', 'case', 'cant']"
241,"['pleassssssseeeee', 'tel', 'v', 'avent', 'done', 'sportsx']"
242,"['okay', 'shine', 'meant', 'sign', 'sound', 'better']"
243,"['although', 'told', 'u', 'dat', 'baig', 'face', 'watch', 'realli', 'like', 'e', 'watch', 'u', 'gave', 'co', 'fr', 'thanx', 'everyth', 'dat', 'u', 'done', 'today', 'touch']"
244,"['u', 'rememb', 'old', 'commerci']"
245,"['late', 'said', 'websit', 'dont', 'slipper']"
246,"['ask', 'call', 'ok']"
247,"['kalli', 'wont', 'bat', 'inning']"
248,"['didnt', 'work', 'oh', 'ok', 'goodnight', 'fix', 'readi', 'time', 'wake', 'dearli', 'miss', 'good', 'night', 'sleep']"
249,"['congratul', 'ur', 'award', 'cd', 'voucher', 'guarante', 'free', 'entri', 'wkli', 'draw', 'txt', 'music', 'tnc']"
250,"['ranjith', 'cal', 'drpd', 'deeraj', 'deepak', 'hold']"
251,"['wen', 'ur', 'lovabl', 'bcum', 'angri', 'wid', 'u', 'dnt', 'take', 'serious', 'coz', 'angri', 'childish', 'n', 'true', 'way', 'show', 'deep', 'affect', 'care', 'n', 'luv', 'kettoda', 'manda', 'nice', 'day', 'da']"
252,[]
253,"['up', 'also', 'ship', 'compani', 'take', 'way', 'usp', 'take', 'week', 'get', 'lag', 'may', 'bribe', 'nipost', 'get', 'stuff']"
254,"['back', 'lem', 'know', 'readi']"
255,"['necessarili', 'expect', 'done', 'get', 'back', 'though', 'headin']"
256,"['mmm', 'yummi', 'babe', 'nice', 'jolt', 'suzi']"
257,"['lover', 'need']"
258,"['tri', 'contact', 'repli', 'offer', 'video', 'handset', 'anytim', 'network', 'min', 'unlimit', 'text', 'camcord', 'repli', 'call']"
259,"['park', 'next', 'mini', 'come', 'today', 'think']"
260,['yup']
261,"['anyway', 'go', 'shop', 'co', 'si', 'done', 'yet', 'dun', 'disturb', 'u', 'liao']"
262,"['luton', 'ring', 'ur', 'around', 'h']"
263,"['hey', 'realli', 'horni', 'want', 'chat', 'see', 'nake', 'text', 'hot', 'text', 'charg', 'unsubscrib', 'text', 'stop']"
264,"['dint', 'come', 'us']"
265,"['wana', 'plan', 'trip', 'sometm']"
266,"['sure', 'yet', 'still', 'tri', 'get', 'hold']"
267,"['ur', 'rington', 'servic', 'chang', 'free', 'credit', 'go', 'choos', 'content', 'stop', 'txt', 'club', 'stop', 'po']"
268,"['evo', 'download', 'flash', 'jealou']"
269,"['rington', 'club', 'get', 'uk', 'singl', 'chart', 'mobil', 'week', 'choos', 'top', 'qualiti', 'rington', 'messag', 'free', 'charg']"
270,"['come', 'mu', 'sort', 'narcot', 'situat']"
271,"['night', 'end', 'anoth', 'day', 'morn', 'come', 'special', 'way', 'may', 'smile', 'like', 'sunni', 'ray', 'leav', 'worri', 'blue', 'blue', 'bay']"
272,"['hmv', 'bonu', 'special', 'pound', 'genuin', 'hmv', 'voucher', 'answer', 'easi', 'question', 'play', 'send', 'hmv', 'info']"
273,"['usf', 'guess', 'might', 'well', 'take', 'car']"
274,"['object', 'bf', 'come']"
275,['thanx']
276,"['tell', 'rob', 'mack', 'gf', 'theater']"
277,"['awesom', 'see', 'bit']"
278,"['sent', 'type', 'food', 'like']"
279,"['done', 'hand', 'celebr', 'full', 'swing', 'yet']"
280,"['got', 'call', 'tool']"
281,"['u', 'miss', 'someon']"
282,"['ask', 'money', 'far']"
283,['oki']
284,"['yeah', 'think', 'usual', 'guy', 'still', 'pass', 'last', 'night', 'get', 'ahold', 'anybodi', 'let', 'know', 'throw']"
285,"['k', 'might', 'come', 'tonight', 'class', 'let', 'earli']"
286,['ok']
287,"['hi', 'babi', 'im', 'cruisin', 'girl', 'friend', 'r', 'u', 'give', 'call', 'hour', 'home', 'that', 'alright', 'fone', 'fone', 'love', 'jenni', 'xxx']"
288,"['life', 'mean', 'lot', 'love', 'life', 'love', 'peopl', 'life', 'world', 'call', 'friend', 'call', 'world', 'ge']"
289,"['dear', 'shall', 'mail', 'street', 'shall', 'updat', 'look', 'edukkukaye', 'raksha', 'good', 'one', 'real', 'sens']"
290,"['hey', 'told', 'name', 'gautham', 'ah']"
291,"['haf', 'u', 'found', 'feel', 'stupid', 'da', 'v', 'cam', 'work']"
292,"['oop', 'got', 'bit']"
293,"['much', 'buzi']"
294,"['accident', 'delet', 'messag', 'resend', 'pleas']"
295,"['custom', 'may', 'claim', 'free', 'camera', 'phone', 'upgrad', 'pay', 'go', 'sim', 'card', 'loyalti', 'call', 'end', 'c', 'appli']"
296,"['unless', 'situat', 'go', 'gurl', 'would', 'appropri']"
297,"['hurt', 'teas', 'make', 'cri', 'end', 'life', 'die', 'plz', 'keep', 'one', 'rose', 'grave', 'say', 'stupid', 'miss', 'u', 'nice', 'day', 'bslvyl']"
298,"['cant', 'pick', 'phone', 'right', 'pl', 'send', 'messag']"
299,"['need', 'coffe', 'run', 'tomo', 'ca', 'believ', 'time', 'week', 'alreadi']"
300,"['awesom', 'rememb', 'last', 'time', 'got', 'somebodi', 'high', 'first', 'time', 'diesel', 'v']"
301,"['shit', 'realli', 'shock', 'scari', 'cant', 'imagin', 'second', 'def', 'night', 'u', 'think', 'somewher', 'could', 'crash', 'night', 'save', 'taxi']"
302,"['oh', 'way', 'food', 'fridg', 'want', 'go', 'meal', 'tonight']"
303,"['womdarful', 'actor']"
304,"['sm', 'ac', 'blind', 'date', 'aberdeen', 'unit', 'kingdom', 'check', 'sm', 'blind', 'date', 'send', 'hide']"
305,"['yup', 'remb', 'think', 'book']"
